"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","filenm"
"1","UoW_Physics_N_Ramadas_NGQ_ML_5-6","0","277.3192","-187.5059","67.244","0","0","140","121","None","0","Reflection 320","4","Generic","true","18","8","9","142","18","8","9","142","0","100","1","24","224","2000","1600","Histogram","1000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","false","2500","2","148","1836","569","1381","0","1597","100","2","1","true","1","true","false","0","0","0","X:/Nikon data/BAE1080 BAEn_CaseStudy1_Prj2_Lines1_700reverse [2014-01-24 11.13.55]/BAEn1080_CaseStudy1_Prj2_Lines1_700reverse.ctprofile.xml"
"2","BAEn1020_CaseStudy1_Prj1_1028","0","355.7577","275","0.0645","0","0","300","267","Cu/Tin","10","Reflection 320","4","Generic","true","11","13","80","76","11","13","80","76","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1999","0","1999","0","1999","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/Bluewater_bell_main [2014-02-26 11.30.37]/Bluewater_bell_top_highfilter_new 2.ctprofile.xml"
"3","BAEn1020_CaseStudy1_Prj1_1028","0","478.56","22.9223","0","0","0","320","219","Copper","6","Reflection 320","4","Generic","false","11","13","80","76","11","13","80","76","0","100","1","0","20","2000","2000","Histogram","2829","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1999","0","1999","0","1999","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/Bluewater_bell_top [2014-02-21 12.26.37]/Bluewater_bell_top.ctprofile.xml"
"4","BAEn1020_CaseStudy1_Prj1_1028","0","470.61","22.34","0","0","0","320","221","Cu/Tin","10","Reflection 320","4","Generic","true","11","13","80","76","11","13","80","76","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1999","0","1999","0","1999","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/Bluewater_bell_top_highfilter [2014-02-25 11.54.56]/Bluewater_bell_top_highfilter.ctprofile.xml"
"5","BAEn1020_CaseStudy1_Prj1_1028","0","391.1","22.76","0","0","0","300","267","Cu/Tin","10","Reflection 320","4","Generic","true","11","13","80","76","11","13","80","76","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1997","0","1925","0","1997","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/Bluewater_bell_top_orient [2014-02-26 17.52.09]/Bluewater_bell_top_orient.ctprofile.xml"
"6","BM_tabletA","0","419.003","-92.24","0","0","0","215","19","None","0","Reflection 225","0","Generic","true","0","2","30","64","0","2","30","64","0","100","1","24","224","2000","1600","Histogram","4000","2","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1997","0","1997","0","1597","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BM_tabletA [2013-10-23 12.39.01]/BM_tabletA.ctprofile.xml"
"7","BM_tabletB","0","453.3192","-92.24","0","0","0","215","19","None","0","Reflection 225","0","Generic","true","0","2","30","64","0","2","30","64","0","100","1","24","224","2000","1600","Histogram","4000","2","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1997","0","1997","0","1597","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BM_tabletB [2013-10-23 16.12.33]/BM_tabletB.ctprofile.xml"
"8","BM_tabletC","0","485.5283","-92.24","0","0","0","215","19","None","0","Reflection 225","0","Generic","true","0","2","30","64","0","2","30","64","0","100","1","24","224","2000","1600","Histogram","4000","2","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1997","0","1997","0","1597","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BM_tabletC [2013-10-23 19.45.59]/BM_tabletC.ctprofile.xml"
"9","WMG_violin2_ B","0","417.67","-61.13","0","0","0","320","239","Tin","5","Reflection 320","4","Generic","true","21","28","213","219","21","28","213","219","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","298","1593","0","1993","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/BOC_BrcP1_3 [2014-09-25 18.31.33]/BOC_BrcP1_3.ctprofile.xml"
"10","Morgan_Bailey_plate389_post","0","356.54","-224.0037","190.5482","0","0","155","30","Tin","0.25","Reflection 225","0","Generic","false","21","36","80","84","21","36","80","84","0","100","1","24","224","2000","1600","Histogram","2000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1999","0","1999","0","1599","100","0","0","true","1","true","false","0","0","0","X:/Nikon data/Catapult_Sumit_defect [2013-11-28 13.40.22]/Catapult_Sumit_defect.ctprofile.xml"
