"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","filenm"
"107","WMG_wires_testsample2","0","336.4926","-66.99","0","0","0","200","35","Tin","0.25","Reflection 225","0","Generic","true","1774","28","208","194","1774","28","208","194","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","157","1832","326","1194","107","1491","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn4000_KPtest [2014-12-02 10.17.24]/BAEn4000_KPtest.ctprofile.xml"
"108","WMG_wires_testsample2","0","443.28","-67.37","0","0","0","200","35","Tin","0.25","Reflection 225","0","Generic","false","19","18","208","194","19","18","208","194","0","100","1","2","20","1996","1996","Histogram","2000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2752","1","436","1365","326","1195","389","1811","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn4000_KPtest_lower [2014-12-02 15.36.30]/BAEn4000_KPtest_lower.ctprofile.xml"
"109","WMG_McNally_arm_A","0","355.13","-46.44","0","0","0","200","35","None","0","Reflection 225","0","Generic","false","26","24","208","194","26","24","208","194","0","100","1","2","20","1996","1996","Histogram","1000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn4000_KPtest_pipeW1 [2014-12-15 12.30.39]/BAEn4000_KPtest.ctprofile.xml"
"110","WMG_Spooner_newcol_4B","0","379.35","-125.24","0","0","0","205","44","Tin","0.25","Reflection 225","0","Generic","false","26","24","208","194","26","24","208","194","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn4000_KPtest_pipeW2 [2015-01-08 15.43.14]/BAEn4000_KPtest_pipeW2.ctprofile.xml"
"111","WMG_Spooner_newcol_4B","0","379.3188","-125.2037","0.0636","0","0","205","27","None","0","Reflection 225","0","Generic","false","26","24","208","194","26","24","208","194","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","0","1993","631","1255","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn4000_KPtest_pipeW2_2 [2015-01-10 13.36.52]/BAEn4000_KPtest_pipeW2_2.ctprofile.xml"
"112","BAEn5010_CD10","0","394.57","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_CD10 [2015-05-17 20.37.21]/BAEn5010_CD10.ctprofile.xml"
"113","BAEn5010_CD20","0","418.0536","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_CD20 [2015-05-18 03.38.01]/BAEn5010_CD20.ctprofile.xml"
"114","BAEn5010_CD30","0","441.162","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_CD30 [2015-05-18 10.38.41]/BAEn5010_CD30.ctprofile.xml"
"115","BAEn5010_CD40","0","462.7152","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_CD40 [2015-05-18 17.39.22]/BAEn5010_CD40.ctprofile.xml"
"116","BAEn5010_CD50","0","486.0639","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_CD50 [2015-05-17 13.36.34]/BAEn5010_CD50.ctprofile.xml"
"117","BAEn5010_CD50","0","486.0639","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_CD50 [2015-05-19 00.40.00]/BAEn5010_CD50.ctprofile.xml"
"118","BAEn5010_UD10","0","394.16","-181.86","103.9789","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","574","1359","0","1993","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_UD10 [2015-05-15 22.08.06]/BAEn5010_UD10.ctprofile.xml"
"119","BAEn5010_UD20","0","422.1837","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_UD20 [2015-05-16 05.08.47]/BAEn5010_UD20.ctprofile.xml"
"120","BAEn5010_UD30","0","447.0701","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_UD30 [2015-05-16 12.09.28]/BAEn5010_UD30.ctprofile.xml"
"121","BAEn5010_UD40","0","472.048","-181.86","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","549","1453","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_UD40 [2015-05-16 19.10.08]/BAEn5010_UD40.ctprofile.xml"
"122","BAEn5010_UD10","0","402.16","-178.9869","11","0","0","200","35","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAEn5010_UD50_2 [2015-05-31 21.45.25]/BAEn5010_UD50_2.ctprofile.xml"
"123",NA,"0","461.0959","-239.1929","-1.6173","0","0","190","25","Copper","0.35",NA,NA,"General","true","17","134","153","0","17","134","153","0","0","100","1","24","24","2000","2000","Histogram","2829","4","0","0","0","0","0","0","0","0","false","2","0.2","false","false","10.10.250.25","false","128","true","3142","1","176","1896","186","1745","157","1789","100","-1","-1","true",NA,"true","true","0","0","0","Y:/CT data exceptions/Paul_Wood_Small_2 [2012-04-02 09.50.30]/Paul_Wood_Small_2.ctprofile.xml"
