"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","DataSetName","SafePosition.AxisPosition","SafePosition.AxisPosition.1","SafePosition.AxisPosition.2","SafePosition.AxisPosition.3","SafePosition.AxisPosition.4","AutomaticShadingCorrection","TallSampleRadius","UseTallSampleROI","ProjectionImageEnhancement","RunVolumeAnalysis","ProfileVersion","filenm"
"12",NA,"0","477.0618","-154.3192","0","0","0","200","125","Tin","1","Reflection 225","0","Diesel1","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2000","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","1858","1","613","1391","556","1362","52","1963","100","0","0","true","0","false","false","0","0","0","Alex_Nozzle1","-150.2112","477.0618","-154.3192","0","0","false","0","false","None","false","0","Y:/CT data/Alex_Diesel injector/Alex_Nozzle1 [2016-04-29 11.32.29]/Alex_Nozzle1.ctprofile.xml"
"13",NA,"0","426.6584","-185.9203","0","0","0","200","100","Tin","1","Reflection 225","0","Diesel4","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2829","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","2850","1","365","1391","348","1362","683","1437","100","0","0","true","0","false","false","0","0","0","Alex_Valve1","-99.3617","426.6584","-185.9203","0","0","false","0","false","None","false","0","Y:/CT data/Alex_Diesel injector/Alex_Valve1 [2016-04-29 13.37.08]/Alex_Valve1.ctprofile.xml"
"14",NA,"0","379.866","-185.9203","0","0","0","200","100","Tin","1","Reflection 225","0","Diesel5","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","2829","5","0","0","0","20000","0","1000","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","3135","1","321","1417","234","1380","595","1371","100","0","0","true","0","false","false","0","0","0","Alex_Valve2","-77.4594","379.866","-185.9203","0","0","false","0","false","None","false","0","Y:/CT data/Alex_Diesel injector/Alex_Valve2 [2016-04-29 18.07.02]/Alex_Valve2.ctprofile.xml"
"15",NA,"0","533.6279","-138.5054","0","0","0","300","100","Tin","1","Reflection 320","4","General","false","109","178","238","249","109","178","238","249","0","100","1","34","34","1980","1980","Recursion","2000","4","0","0","0","0","0","0","1","0","false","2","0.2","true","false","RECONPC","false",NA,"true","2545","1","686","1595","451","1406","82","1979","100","0","0","true","0","false","false","0","0","0","Nozzle_Nut1","0","416.9378","-138.5054","0","0","false","0","false","None","false","0","Y:/CT data/Alex_Diesel injector/Nozzle_Nut1 [2016-05-18 17.25.03]/Nozzle_Nut1.ctprofile.xml"
"16",NA,"0","551.2633","-118","0","0","0","130","95",NA,"0","Reflection 320","4","FID","false","109","178","238","249","109","178","238","249","0","100","1","24","24","2000","2000","Recursion","267","4","0","0","0","0","0","0","1","0","false","2","0.2","false","false","RECONPC","false",NA,"false","2300","1","351","1596","410","1534","291","1240","100","0","0","true","0","false","false","0","0","0","FID1",NA,NA,NA,NA,NA,"false","0","false","None","false","0","Y:/CT data/ArchiveFID/FID1 [2016-04-04 13.29.01]/FID1.ctprofile.xml"
"17",NA,"0","551.2633","-78","0","0","0","130","95",NA,"0","Reflection 320","4","FID","false","109","178","238","249","109","178","238","249","0","100","1","24","24","2000","2000","Recursion","267","4","0","0","0","0","0","0","1","0","false","2","0.2","false","false","RECONPC","false",NA,"false","2300","1","590","1389","544","1405","456","1124","100","0","0","true","0","false","false","0","0","0","FID1",NA,NA,NA,NA,NA,"false","0","false","None","false","0","Y:/CT data/ArchiveFID/FID1 [2016-04-04 13.55.41]/FID1.ctprofile.xml"
"18",NA,"0","551.2633","-58","0","0","0","130","95",NA,"0","Reflection 320","4","FID","false","109","178","238","249","109","178","238","249","0","100","1","24","24","2000","2000","Recursion","267","4","0","0","0","0","0","0","1","0","false","2","0.2","false","false","RECONPC","false",NA,"false","2300","1","590","1389","544","1405","511","1124","100","0","0","true","0","false","false","0","0","0","FID1",NA,NA,NA,NA,NA,"false","0","false","None","false","0","Y:/CT data/ArchiveFID/FID1 [2016-04-04 14.08.13]/FID1.ctprofile.xml"
"19",NA,"0","551.2633","-98.0806","0","0","0","130","95",NA,"0","Reflection 320","4","FID","false","109","178","238","249","109","178","238","249","0","100","1","24","24","2000","2000","Recursion","267","4","0","0","0","0","0","0","1","0","false","2","0.2","false","false","RECONPC","false",NA,"false","2300","1","498","1466","544","1405","390","1124","100","0","0","true","0","false","false","0","0","0","FID1",NA,NA,NA,NA,NA,"false","0","false","None","false","0","Y:/CT data/ArchiveFID/FID2 [2016-04-04 13.42.54]/FID1.ctprofile.xml"
"20",NA,"0","551.2633","275","0","0","0","130","95",NA,"0","Reflection 320","4","FID","false","109","178","238","249","109","178","238","249","0","100","1","24","24","2000","2000","Recursion","267","4","0","0","0","0","0","0","1","0","false","2","0.2","false","false","RECONPC","false",NA,"false","2300","1","814","1139","814","1141","785","1125","100","0","0","true","0","false","false","0","0","0","FID5",NA,NA,NA,NA,NA,"false","0","false","None","false","0","Y:/CT data/ArchiveFID/FID5 [2016-04-04 14.21.07]/FID5.ctprofile.xml"
"21","N_CFRP_WO11375a","0","223.05","75.15","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2188","1","568","1469","653","1511","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11375a [2015-12-18 16.02.17]/N_CFRP_WO11375a.ctprofile.xml"
